label,text
arrufo,"""La rajadura va de lado a lado en el centro de la viga, y el desnivel se nota al poner una pelota en el piso."""
puntual,"""El agrietamiento oblicuo tiene una longitud de 3 metros y un ensanchamiento máximo de 5 mm, orientado hacia el eje vertical del apoyo puntual asentado."""
arrufo,"""Asentamiento diferencial de la capa de suelo que ha inducido una curvatura de 1/400, generando esfuerzos de tracción que superan la resistencia a la tensión del concreto."""
puntual,"""El poste se hundió y la pared se partió sin avisar, se ve que el suelo no agarró a la base de la casa en ese punto."""
arrufo,"""Se está doblando la casa por el medio y la raya de arrufo se ve en el suelo del garaje, bien marcada y con polvo de cemento caído."""
puntual,"""El agrietamiento es muy concentrado en un solo punto cerca del cimiento, y la pared parece que se está separando de la esquina."""
arrufo,"""El piso se mueve un poco en el centro y se oye un chirrido cuando la gente camina sobre la parte hundida, la fisura vive."""
puntual,"""La fisura de corte es la manifestación de la incapacidad del suelo de soportar la carga, con una trayectoria de 45∘ que atraviesa la mampostería."""
arrufo,"""El plano de falla inicia en la zona de máximo momento positivo, con agrietamiento subhorizontal en el tercio medio."""
puntual,"""La distorsión angular en la esquina del muro adyacente al apoyo fallido es de 1/150, causando una separación en la junta de 8 mm."""
arrufo,"""Se está arqueando el techo y la fisura se ve desde la calle, la raya es bien horizontal y muy visible."""
puntual,"""El cimiento tronó y se partió la pared en una diagonal rara, se ve que el peso se fue todo a ese lado, y la grieta suena."""
arrufo,"""Hay una rajadura grande en la parte baja de la pared que sigue la línea de la curvatura del piso, y el centro se siente muy hundido."""
puntual,"""La ventana no cierra por el desplome que causó el punto de apoyo que se ha ido para abajo; cada que la abrimos, cruje el marco."""
arrufo,"""La fisura horizontal de 1.8 mm en el centro del muro tiene 5 metros de longitud y está ubicada a 70 cm del nivel del piso terminado."""
puntual,"""El asentamiento puntual generó una concentración de tensiones que excede la resistencia a la tracción diagonal de la mampostería, con grietas que siguen las juntas."""
arrufo,"""Fisura por flexión positiva de 2 mm en el tercio central de la losa, evidenciando un asentamiento diferencial cóncavo en la subrasante."""
puntual,"""La grieta oblicua por cizalla se origina en la base del apoyo C-7, con una abertura de 6.5 mm en la parte inferior y un ángulo de propagación de 38∘."""
arrufo,"""El techo tronó bien feo anoche, como que se dobló la viga en medio, y la raya que tiene abajo se ve más ancha que antes."""
puntual,"""La pared se rajó en forma de rayo, justo donde la columna se hundió, y se siente que la puerta ya no cierra bien."""
arrufo,"""El desplazamiento vertical máximo es de 18 mm en el centro del claro, resultando en fisuras capilares verticales de 0.8 mm en la parte superior de los apoyos."""
puntual,"""El fallo a tensión diagonal en el muro fue acompañado por un chasquido de rotura del mortero, indicando un asentamiento súbito y una pérdida de rigidez."""
arrufo,"""La parte baja del muro está fisurada de forma horizontal, y al ver la losa, parece una hamaca porque el centro está más bajo."""
puntual,"""El cimiento se fue al fondo y el muro tiene una raya muy fea que va en picada hacia donde cayó la base del pilar, se ve el hueco."""
arrufo,"""Se está hundiendo la casa en medio, la barda se le hicieron unas rayas arriba cerca de las esquinas, como que se jaló el cemento."""
puntual,"""Se detecta una separación de 11 mm entre el muro y el marco de la ventana, causada por la distorsión angular (Δ/L>1/180) inducida por el hundimiento del apoyo adyacente."""
arrufo,"""Fisuración vertical en los paramentos por tensión resultante de la rotación en el extremo del elemento estructural debido al levantamiento perimetral."""
puntual,"""La esquina de la casa cruje fuerte cuando hace viento, y la grieta diagonal está tan abierta que se puede ver la oscuridad detrás del muro."""
arrufo,"""La grieta horizontal en el tercio medio inferior tiene una longitud de 7 metros y un ancho constante de 2.1 mm, siguiendo la línea de máxima tracción por flexión."""
puntual,"""El poste se hundió como si fuera mantequilla y el muro se abrió como un rayo que va desde el piso hasta el techo, el boquete es bien grande."""
arrufo,"""Hay una rajadura grande en la parte baja de la pared que sigue la línea de la curvatura del piso, y el centro se siente muy hundido."""
puntual,"""Giro de la cimentación por asentamiento puntual que induce momentos de volteo y esfuerzos de tracción en el borde superior opuesto del muro."""
arrufo,"""El agrietamiento en la losa estuvo precedido por un sonido sordo de fractura inicial en el núcleo, manifestando una progresión rápida de la deformación."""
puntual,"""El labio desplazado en la grieta diagonal es de 5.5 mm, indicando que el apoyo sufrió un asentamiento diferencial vertical de alta magnitud."""
arrufo,"""Se está doblando la casa por el medio y la raya de arrufo se ve en el suelo del garaje, bien marcada y con polvo de cemento caído."""
puntual,"""El muro tiene una fisura grande que parece la costura de una tela desgarrada, apuntando hacia abajo a la esquina hundida que ya está muy desnivelada."""
arrufo,"""Las fisuras verticales en los apoyos tienen un ancho constante de 3.2 mm y se extienden hasta la mitad del muro de carga, producto de la flexión negativa."""
puntual,"""Fisuras oblicuas de 4.2 mm de ancho que convergen hacia el apoyo, causadas por cizallamiento y la incapacidad del suelo de soportar la carga puntual."""
arrufo,"""Se oyen pequeños crujidos de la mampostería cuando hace frío; la grieta horizontal en el centro del muro se ha extendido unos 18 cm en la última semana."""
puntual,"""El cimiento tronó y se partió la pared en una diagonal rara, se ve que el peso se fue todo a ese lado, y la grieta suena."""
arrufo,"""El plano de falla inicia en la zona de máximo momento positivo, con agrietamiento subhorizontal en el tercio medio."""
puntual,"""El marco de la puerta ya no encaja porque el muro se movió por el hundimiento concentrado de un lado."""
arrufo,"""La losa se está poniendo concava y se nota el agrietamiento arriba de los apoyos, la rajada es bien delgada arriba y gruesa abajo."""
puntual,"""La separación vertical entre el muro y la columna es de 15 mm a la altura del piso, lo que ha provocado la fractura del recubrimiento en la interfaz."""
arrufo,"""La pared tiene grietas en la parte de arriba, cerca de los extremos, y el centro del techo parece que está cediendo."""
puntual,"""El asentamiento puntual generó una concentración de tensiones que excede la resistencia a la tracción diagonal de la mampostería, con grietas que siguen las juntas."""
arrufo,"""Grietas por flexión en el intradós que estuvieron precedidas por un chasquido audible en el núcleo, indicando la fractura del concreto bajo tensión."""
puntual,"""Cada vez que se cierra la puerta, se escucha un golpe sordo y la grieta diagonal se hace más visible, es un movimiento vivo."""
arrufo,"""La fisura de tracción en la cara inferior de la viga tiene una longitud de 6.5 metros y su abertura máxima es de 2.2 mm, ubicada en el centro geométrico del claro."""
puntual,"""Se le hicieron unas rajaduras que parecen caminos en el muro por ese apoyo flojo, y la grieta va en pico hacia abajo."""
arrufo,"""Se está arqueando el techo y la fisura se ve desde la calle, la raya es bien horizontal y muy visible."""
puntual,"""El agrietamiento oblicuo tiene una longitud de 2.6 metros y una abertura máxima de 4.6 mm, orientado hacia el eje vertical del apoyo puntual con una inclinación de 39∘."""
arrufo,"""Hay una rajadura grande en la parte baja de la pared que sigue la línea de la curvatura del piso, y el centro se siente muy hundido."""
puntual,"""Fisuras de tensión diagonal que emanan del apoyo puntual, indicando el inicio de una falla frágil por corte debido a la excentricidad de la carga."""
arrufo,"""Deformación con curvatura convexa en los extremos debido al asentamiento central, generando fisuras verticales por tensión en los bordes."""
puntual,"""La ventana no cierra por el desplome que causó el punto de apoyo que se ha ido para abajo; cada que la abrimos, cruje el marco."""
arrufo,"""El piso tronó fuerte y la pared se rajó arriba, justo en la esquina de la barda, por el jalón que hizo el centro."""
puntual,"""La pared se está quebrando al lado del poste porque el suelo se aguadó y el apoyo se deslizó, dejando una raya inclinada muy fea."""
arrufo,"""Las grietas por momento negativo en los apoyos tienen un patrón vertical y su ancho oscila entre 1.2 mm y 1.6 mm, afectando la cubierta del refuerzo."""
puntual,"""El movimiento súbito del apoyo fue acompañado por un ruido de fractura de concreto por cizallamiento, lo que indica una falla frágil en la base."""
arrufo,"""La rajadura va de lado a lado en el centro de la viga, y el desnivel se nota al poner una pelota en el piso."""
puntual,"""El agrietamiento oblicuo tiene una longitud de 3.2 metros y un ensanchamiento máximo de 5.2 mm, orientado hacia el eje vertical del apoyo puntual asentado."""
arrufo,"""Asentamiento diferencial de la capa de suelo que ha inducido una curvatura de 1/350, generando esfuerzos de tracción que superan la resistencia a la tensión del concreto."""
puntual,"""El poste se hundió y la pared se partió sin avisar, se ve que el suelo no agarró a la base de la casa en ese punto."""
arrufo,"""Se está doblando la casa por el medio y la raya de arrufo se ve en el suelo del garaje, bien marcada y con polvo de cemento caído."""
puntual,"""El agrietamiento es muy concentrado en un solo punto cerca del cimiento, y la pared parece que se está separando de la esquina."""
arrufo,"""El piso se mueve un poco en el centro y se oye un chirrido cuando la gente camina sobre la parte hundida, la fisura vive."""
puntual,"""La fisura de corte es la manifestación de la incapacidad del suelo de soportar la carga, con una trayectoria de 45∘ que atraviesa la mampostería."""
arrufo,"""El plano de falla inicia en la zona de máximo momento positivo, con agrietamiento subhorizontal en el tercio medio."""
puntual,"""La distorsión angular en la esquina del muro adyacente al apoyo fallido es de 1/130, causando una separación en la junta de 9 mm."""
arrufo,"""Se está arqueando el techo y la fisura se ve desde la calle, la raya es bien horizontal y muy visible."""
puntual,"""El cimiento tronó y se partió la pared en una diagonal rara, se ve que el peso se fue todo a ese lado, y la grieta suena."""
arrufo,"""Hay una rajadura grande en la parte baja de la pared que sigue la línea de la curvatura del piso, y el centro se siente muy hundido."""
